Sheet: Central States
Dimensions: 106074 rows x 19 cols
Non-empty cells: 2789
Data rows (non-blank): 199
================================================================================

Row 2: [2]=Macro Mark | [3]=Central Mark | [4]=Price | [5]=Weight | [7]=ItemID | [8]=ItemDescription | [9]=UnitCost | [10]=ItemProductType | [11]=ItemProfile | [12]=ItemColor | [13]=ItemGauge | [14]=ItemAccessoryType | [15]=ItemTrimType | [16]=BaseItemID | [17]=ProductSubcategory | [18]=ItemUOM | [19]=ItemWeight
Row 33: [3]=0200RIDGEC102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGEC102 | [8]=Charcoal,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Charcoal | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 34: [3]=0200RIDGEC122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGEC122 | [8]=Charcoal,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Charcoal | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 35: [3]=0200RIDGEC142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGEC142 | [8]=Charcoal,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Charcoal | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 36: [3]=0200RIDGEC162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGEC162 | [8]=Charcoal,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Charcoal | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 37: [3]=0200RIDGEC182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGEC182 | [8]=Charcoal,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Charcoal | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 38: [3]=0200RIDGEC204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGEC204 | [8]=Charcoal,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Charcoal | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 39: [3]=0200RIDGECG102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGECG102 | [8]=Colony,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Colony | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 40: [3]=0200RIDGECG122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGECG122 | [8]=Colony,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Colony | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 41: [3]=0200RIDGECG142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGECG142 | [8]=Colony,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Colony | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 42: [3]=0200RIDGECG162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGECG162 | [8]=Colony,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Colony | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 43: [3]=0200RIDGECG182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGECG182 | [8]=Colony,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Colony | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 44: [3]=0200RIDGECG204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGECG204 | [8]=Colony,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Colony | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 45: [3]=0200RIDGECM102 | [4]=5.42343325 | [5]=8.55 | [7]=0200RIDGECM102 | [8]=Copper Met*,26,0200RIDGE,10'2'' | [9]=5.0101 | [10]=Trim | [12]=Copper Metallic | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 46: [3]=0200RIDGECM122 | [4]=6.49164425 | [5]=10.22 | [7]=0200RIDGECM122 | [8]=Copper Met*,26,0200RIDGE,12'2'' | [9]=5.9969 | [10]=Trim | [12]=Copper Metallic | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 47: [3]=0200RIDGECM142 | [4]=7.558448 | [5]=11.9 | [7]=0200RIDGECM142 | [8]=Copper Met*,26,0200RIDGE,14'2'' | [9]=6.9824 | [10]=Trim | [12]=Copper Metallic | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 48: [3]=0200RIDGECM162 | [4]=8.62536 | [5]=13.58 | [7]=0200RIDGECM162 | [8]=Copper Met*,26,0200RIDGE,16'2'' | [9]=7.968 | [10]=Trim | [12]=Copper Metallic | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 49: [3]=0200RIDGECM182 | [4]=9.69216375 | [5]=15.26 | [7]=0200RIDGECM182 | [8]=Copper Met*,26,0200RIDGE,18'2'' | [9]=8.9535 | [10]=Trim | [12]=Copper Metallic | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 50: [3]=0200RIDGECM204 | [4]=10.67096025 | [5]=17.1 | [7]=0200RIDGECM204 | [8]=Copper Met*,26,0200RIDGE,20'4'' | [9]=9.8577 | [10]=Trim | [12]=Copper Metallic | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 51: [3]=0200RIDGECR102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGECR102 | [8]=Crimson,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Crimson | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 52: [3]=0200RIDGECR122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGECR122 | [8]=Crimson,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Crimson | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 53: [3]=0200RIDGECR142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGECR142 | [8]=Crimson,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Crimson | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 54: [3]=0200RIDGECR162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGECR162 | [8]=Crimson,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Crimson | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 55: [3]=0200RIDGECR182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGECR182 | [8]=Crimson,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Crimson | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 56: [3]=0200RIDGECR204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGECR204 | [8]=Crimson,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Crimson | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 57: [3]=0200RIDGEDS102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGEDS102 | [8]=Desert,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Desert | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 58: [3]=0200RIDGEDS122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGEDS122 | [8]=Desert,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Desert | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 59: [3]=0200RIDGEDS142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGEDS142 | [8]=Desert,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Desert | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 60: [3]=0200RIDGEDS162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGEDS162 | [8]=Desert,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Desert | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 61: [3]=0200RIDGEDS182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGEDS182 | [8]=Desert,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Desert | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 62: [3]=0200RIDGEDS204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGEDS204 | [8]=Desert,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Desert | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 63: [3]=0200RIDGEF102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGEF102 | [8]=Fern,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Fern | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 64: [3]=0200RIDGEF122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGEF122 | [8]=Fern,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Fern | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 65: [3]=0200RIDGEF142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGEF142 | [8]=Fern,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Fern | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 66: [3]=0200RIDGEF162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGEF162 | [8]=Fern,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Fern | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 67: [3]=0200RIDGEF182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGEF182 | [8]=Fern,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Fern | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 68: [3]=0200RIDGEF204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGEF204 | [8]=Fern,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Fern | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 69: [3]=0200RIDGEG102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGEG102 | [8]=Gray,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Gray | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 70: [3]=0200RIDGEG122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGEG122 | [8]=Gray,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Gray | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 71: [3]=0200RIDGEG142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGEG142 | [8]=Gray,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Gray | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
Row 72: [3]=0200RIDGEG162 | [4]=7.50031775 | [5]=13.58 | [7]=0200RIDGEG162 | [8]=Gray,26,0200RIDGE,16'2'' | [9]=6.9287 | [10]=Trim | [12]=Gray | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE162 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=13.58
Row 73: [3]=0200RIDGEG182 | [4]=8.427912 | [5]=15.26 | [7]=0200RIDGEG182 | [8]=Gray,26,0200RIDGE,18'2'' | [9]=7.7856 | [10]=Trim | [12]=Gray | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE182 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=15.26
Row 74: [3]=0200RIDGEG204 | [4]=9.27908175 | [5]=17.1 | [7]=0200RIDGEG204 | [8]=Gray,26,0200RIDGE,20'4'' | [9]=8.5719 | [10]=Trim | [12]=Gray | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE204 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=17.1
Row 75: [3]=0200RIDGEGB102 | [4]=4.71612775 | [5]=8.55 | [7]=0200RIDGEGB102 | [8]=Gallery,26,0200RIDGE,10'2'' | [9]=4.3567 | [10]=Trim | [12]=Gallery | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE102 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=8.55
Row 76: [3]=0200RIDGEGB122 | [4]=5.64491275 | [5]=10.22 | [7]=0200RIDGEGB122 | [8]=Gallery,26,0200RIDGE,12'2'' | [9]=5.2147 | [10]=Trim | [12]=Gallery | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE122 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=10.22
Row 77: [3]=0200RIDGEGB142 | [4]=6.57261525 | [5]=11.9 | [7]=0200RIDGEGB142 | [8]=Gallery,26,0200RIDGE,14'2'' | [9]=6.0717 | [10]=Trim | [12]=Gallery | [13]=26 | [15]=Special Customer Spec | [16]=0200RIDGE142 | [17]=26 Gauge Trim Painted | [18]=Ea | [19]=11.9
